Error/Needs Review,record_id,policy_id,province,recorded_date,date_updated,date_start,date_end,policy_type,entry_type,event_description,type,type_sub_cat,type_text,correct_type,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,link,ISO_A3,ISO_A2
,5289963Db,5289963,Rhode Island,2020-05-01T05:59:10Z,2020-05-01,2020-04-18,2020-07-15,,new_entry,"Rhode Island, United States
• Garden centers: Starting tomorrow, big box stores that include garden centers are required to close open browsing and shopping options within their garden centers. Garden center sales will be temporarily limited to pickup, delivery, and appointment options – as is the case for free-standing garden centers. • Masks: Earlier this week, the Governor signed an executive order issuing clear direction about face coverings. The following directives take effect today: o All employees of customer-facing businesses, office-based businesses, manufacturers, nonprofits and construction workers must wear cloth face coverings when they are at work. o Additionally, all customer-facing businesses must take steps to remind customers to wear face coverings. o The only exceptions are for anyone whose health would be in jeopardy because of wearing a face covering or any children under 2 years old. • The RI Artist Relief Fund: The Rhode Island State Council on the Arts (RISCA), in cooperation with the Rhode Island Foundation and the City of Providence Department of Art, Culture + Tourism, announced the Rhode Island Artist Relief Fund today. Created to provide grants to RI artists who are in financial distress as a result of the COVID-19 crisis, the fund has awarded $126,030 in grants to support 253 Rhode Island artists. The Governor encouraged anyone in a position to donate to the fund to visit https://www.artistcommunities.org/arf. For more information, visit https://risca.online/grants/artistrelieffund/.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://www.ri.gov/press/view/38167,USA,US
,8385209Db,8385209,Florida,2020-05-04T10:06:07Z,2020-05-04,2020-03-27,2020-04-30,,update,"United States, Florida Governor issues an executive order for the closure of all vacation rentals. Vacation rentals are prohibited from making new reservations or bookings and shall not accept new guests for check in for the duration of this order, beginning March 27 until April 10.
Extended until April 30.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-87.pdf,USA,US
,3252203Db,3252203,Georgia,2020-05-05T03:55:37Z,2020-05-05,2020-05-20,2020-05-13,Fewer Restrictions and/or Less Supply,new_entry,"United States, Georgia Governor issues an executive order allowing all gyms, fitness centers, bowling alleys, body art studios, estheticians, hair designers, and persons licensed to practice massage therapy to begin in-person Minimum Basic Operations on Friday April 24.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,USA,US
,9872646Db,9872646,Georgia,2020-05-05T09:09:25Z,2020-05-05,2020-05-01,2020-05-13,,new_entry,"United States, Georgia Governor orders that all public swimming pools, performance venues, and operators of amusement rides shall remain closed to the public beginning May 1 until May 13.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,USA,US
,5936456Db,5936456,Georgia,2020-05-05T09:34:32Z,2020-05-05,2020-04-23,2020-07-15,,new_entry,"United States, Georgia Governor issues an executive order requiring gyms and fitness centers to implement to provide signage, screening patrons at the entrance, limiting occupancy to enforce social distancing, increasing hygiene, closing pools, basketball courts, other group sport areas, hot-tubs, saunas, steam rooms and tanning beds. Effective April 23.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,USA,US
,8509864Db,8509864,Georgia,2020-05-06T01:25:46Z,2020-05-06,2020-04-27,2020-05-13,,update,"United States, Georgia Governor issues an executive order requiring that indoor movie theaters and cinemas shall implement measures to stop the spread of COVID-19. These include, each party of patrons must be 6 feet apart and no party may be more than 6 individuals, sanitization before and after each showing, closed playgrounds and arcade rooms, party rooms may not host parties or gatherings, regular cleaning and disinfecting of bathrooms and touch points. Effective April 27 until May 13.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,USA,US
,2843644Db,2843644,New Jersey,2020-05-07T05:19:40Z,2020-05-07,2020-05-02,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"United States, New Jersey Governor issues an executive order allowing golf courses to open to the public and members associated with private golf clubs, but such businesses must require that reservations and payments be made by electronic or telephone reservation systems, stagger tee times so that they are 16 minutes apart, limit golf carts to single occupant only, require frequent sanitization, close all gold center buildings, pro shops, and other buildings, discontinue equipment rentals, require all employees and players to wear cloth face coverings,and  maintain social distancing. Effective from May 2.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://www.nj.gov/infobank/eo/056murphy/pdf/EO-133.pdf,USA,US
,874360Db,874360,Arkansas,2020-05-08T04:11:25Z,2020-05-08,2020-04-06,2020-07-15,,new_entry,"United States, Arkansas Governor issues an executive order requiring that all businesses, manufacturers, construction companies, and places and worship implement restrictions on the number of people who can enter a facility to maintain minimum 6 foot distance, increase hygiene and sanitation, provide contactless payment systems, post information signage and the entrance of their facility.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-13._.pdf,USA,US
,2248568Db,2248568,Rhode Island,2020-05-11T07:38:13Z,2020-05-11,2020-05-08,2020-05-22,,update,"Rhode Island, United States
Tomorrow, the Governor will issue a new executive order extending the ban on social gatherings of five people until May 22nd. In addition, the following orders will extend through May 22nd:

• Domestic Travel: Anyone coming to Rhode Island from any other state for a non-work-related purpose by any mode of transportation must self-quarantine for 14 days. This restriction will not apply to anyone traveling for medical treatment or to obtain necessities like groceries, gas, or medication. • Restaurant dine-in: Restaurants, bars, and cafes will remain closed to dine-in service. Wine and beer can still be sold with take-out orders. In addition, starting Saturday, restaurants and bars will be allowed to sell mixed drinks in sealed containers. • Businesses closures: Recreation and entertainment businesses will remain closed. This includes theaters, cinemas, bowling alleys, concert venues, museums, and zoos. Close-contact businesses will also remain closed. This includes gyms, fitness centers, yoga studios, hair salons, nail salons, barber shops, and tattoo parlors.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://www.ri.gov/press/view/37985,USA,US
,8940122Db,8940122,West Virginia,2020-05-13T02:21:39Z,2020-05-13,2020-05-14,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"United States, West Virginia Governor announces that horse racing will be able to resume, without spectators on May 14.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://governor.wv.gov/Pages/WV-COVID-19-actions-and-executive-orders.aspx,USA,US
,2679720Db,2679720,West Virginia,2020-05-14T01:46:33Z,2020-05-14,2020-05-04,2020-05-04,,update,"United States, West Virginia Governor issues an executive order stating that ""all essential business and operations conducted by both private and public employers in Cabell County, Ohio County, Wayne County, and Wood County shall order their employees and/or contractors, to the maximum extent possible, to work from their home or residence, or to otherwise work remotely"" beginning April 11.
Updated: Policy ends for Ohio County effective May 4.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://governor.wv.gov/Documents/2020%20Executive%20Orders/Executive-Order-April-10-2020-Cabell-Wayne-Wood-Ohio-counties.pdf,USA,US
,8786645Db,8786645,California,2020-05-17T12:43:14Z,2020-05-17,2020-05-08,2020-07-15,Fewer Restrictions and/or Less Supply,update,"California, United States
SACRAMENTO – Following up on the state’s announcement that it will begin modifying the stay at home order on Friday, May 8, Governor Gavin Newsom today released updated industry guidance – including for retail, manufacturing and logistics – to begin reopening with modifications that reduce risk and establish a safer environment for workers and customers.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,All (Travelers + Residents),NA,NA,Mandatory (Unspecified/Implied),https://covid19.ca.gov/stay-home-except-for-essential-needs/,USA,US
,8223063Db,8223063,Maryland,2020-05-18T06:55:54Z,2020-05-18,2020-05-15,2020-07-15,Fewer Restrictions and/or Less Supply,update,"Maryland, United States
LOCAL FLEXIBILITY FOR JURISDICTIONS. Governor Hogan’s ‘Maryland Strong: Roadmap to Recovery’ provides a flexible and community-based approach which empowers county leaders to make decisions regarding the timing of Stage One reopening in their individual jurisdictions. Read the new order here.

RETAIL STORES. Governor Hogan announced that retail stores may reopen at up to 50 percent capacity, with curbside pickup and delivery strongly encouraged, and all public health precautions in place. Examples of businesses that may reopen include clothing and shoe stores, pet groomers, animal adoption shelters, car washes, art galleries, and bookstores.

    Guidance and best practices for retail stores.

MANUFACTURING. Governor Hogan announced manufacturing may resume operations in a safe manner which protects the health of employees, with guidelines encouraging multiple shifts and other safety precautions.

    Guidance and best practices for manufacturing.

CHURCHES AND HOUSES OF WORSHIP. Churches and houses of worship may begin to safely hold religious services, at up to 50 percent capacity, with outdoor services strongly encouraged. Religious leaders are strongly urged to do everything possible to keep their congregants safe, and particularly to protect the elderly and vulnerable within their congregations.

    Guidance and best practices for religious services.

PERSONAL SERVICES. Some personal services, including barber shops and hair salons, may reopen with up to 50 percent capacity, by appointment only and with appropriate health and safety guidelines.

    Guidance and best practices for personal services.

‘BACK TO BUSINESS.’ Businesses that adopt all safety guidelines are encouraged to take a ‘Back to Business’ pledge.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://governor.maryland.gov/covid-19-pandemic-orders-and-guidance/,USA,US
,1551660Db,1551660,Montana,2020-05-20T17:45:26Z,2020-05-20,2020-05-04,,Fewer Restrictions and/or Less Supply,update,"On Mar 20, Montana Gov. Bullock announced measures to close dine-in food service and alcoholic beverage businesses and other activities that pose enhanced health risks, effective at 8 p.m. on Friday, March 20, 2020. This Directive expires at 11:59 p.m. on March 27, 2020. 

On Mar 24, the measure was extended to April 10.

On Apr 7, the measure was extended to April 24.

On Apr 22, Montana Gov. Steve Bullock announced a gradual and phased reopening of the state. Restaurants, bars, breweries, and distilleries can begin providing some in-establishment services beginning May 4.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://news.mt.gov/governor-bullock-announces-closure-of-dine-in-food-service-and-alcoholic-beverage-businesses-and-other-activities-that-pose-enhanced-risks-to-curtail-spread-of-covid-19,USA,US
,7170189Db,7170189,Nebraska,2020-05-20T18:50:47Z,2020-05-20,2020-04-03,2020-05-31,Fewer Restrictions and/or Less Supply,update,"The state of Nebraska announced that hospitals, dental offices, eye care clinics and veterinary clinics can resume elective surgeries if they meet certain capacity requirements in Cass, Douglas, and Sarpy counties on April 30, effective May 4, in place until May 31. They further announced that hospitals, dental offices, eye care clinics and veterinary clinics can resume elective surgeries if they meet certain capacity requirements in Lincoln/Lancaster County, Three Rivers and West Central counties on April 30, effective May 11, in place until May 31.
",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,Health Staff,NA,NA,"Mandatory with Fines,Mandatory (Unspecified/Implied)",http://dhhs.ne.gov/Documents/COVID-19-DHM-STATEWIDE.pdf,USA,US
,6066505Db,6066505,South Carolina,2020-05-23T18:59:26Z,2020-05-23,2020-05-22,2020-05-22,Fewer Restrictions and/or Less Supply,update,"The state of South Carolina rescinded the ordered closure of entertainment venues and allowed recreational/athletic facilities to engage in close contact sports on May 21, effective on May 22 at 12:01 AM EST, in place until further notice.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-03-31%20eFILED%20Executive%20Order%20No.%202020-17%20-%20Closure%20of%20Non-Essential%20Businesses.pdf,USA,US
,6389815Db,6389815,Texas,2020-05-24T18:16:59Z,2020-05-24,2020-05-01,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"On April 27, 2020 the Governor of Texas ""announced the first phase of the State of Texas' ongoing plan to safely and strategically open Texas while minimizing the spread of COVID-19. Under Phase I, certain services and activities are allowed to open with limited occupancy, and the Texas Department of State Health Services (DSHS) is issuing minimum standard health protocols for all businesses and individuals to follow. The Governor also outlined special guidance for Texans over 65 and detailed a comprehensive mitigation plan for nursing homes in Texas. The Governor also announced a statewide testing and tracing program developed by DSHS that will help public health officials quickly identify and test Texans who contract COVID-19 and mitigate further spread of the virus. 

By way of Executive Order (GA-18), all retail stores, restaurants, movie theaters, and malls are permitted to reopen on Friday, May 1. These services must limit their capacity to 25% of their listed occupancy. Within shopping malls, the food-court dining areas, play areas, and interactive displays and settings must remain closed.

All museums and libraries may open under the same 25% occupancy limitation, but interactive areas of museums must remain closed. State libraries and museums will open by May 1, and local public museums and libraries may reopen only if permitted by the local government. Single-person offices may reopen as well.

Churches and places of worship remain open. Outdoor sports are allowed to resume so long as no more than four participants are playing together at one time. Certain social distancing practices must also be followed. Local government operations, including county and municipal government operations relating to permitting, recordation, and document-filing services, may reopen as determined by the local government.

Public swimming pools, bars, gyms, cosmetology salons, massage establishments, interactive amusement venues, such as bowling alleys and video arcades, and tattoo and piercing studios will remain closed through Phase I. Nursing homes, state supported living centers, assisted living facilities, and long-term care facilities must remain closed to visitors unless to provide critical assistance.""


",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://gov.texas.gov/news/post/governor-abbott-announces-phase-one-to-open-texas-establishes-statewide-minimum-standard-health-protocols,USA,US
,9751246Db,9751246,Texas,2020-05-24T18:48:11Z,2020-05-24,2020-05-05,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"On May 5, 2020 Texas Governor announced that ""wedding venues and services required to conduct weddings may immediately open. Weddings held indoors other than at a church, congregation, or house of worship must limit occupancy to 25%. Wedding reception services may also resume, but facilities must limit their occupancy to 25% of the total listed occupancy. These occupancy limits do not apply to the outdoor areas of a wedding reception or to outdoor wedding receptions""",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Voluntary/Recommended but No Penalties,https://gov.texas.gov/news/post/governor-abbott-expands-business-openings-in-texas-announces-surge-response-teams-to-combat-covid-19,USA,US
,8865938Db,8865938,Texas,2020-05-24T18:56:25Z,2020-05-24,2020-05-18,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"On May 5, 2020, Texas Governor announced that ""beginning May 18, office buildings may open with the greater of five or less individuals or 25% of the total office workforce. These individuals must maintain appropriate social distancing. Gyms, exercise facilities, and exercise classes may also open on May 18, but must operate at 25% occupancy. Locker rooms and shower facilities will remain closed, but restrooms may open. Non-essential manufacturing services may also open on May 18 but facilities must limit their occupancy to 25%.""",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://gov.texas.gov/news/post/governor-abbott-expands-business-openings-in-texas-announces-surge-response-teams-to-combat-covid-19,USA,US
,1541064Db,1541064,Florida,2020-05-26T11:39:50Z,2020-05-26,2020-05-18,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"Florida as of May 18, 2020: Professional sports may operate in the State of Florida and venues may host training, competitions, events and games. Amusement parks may submit a re-opening plan that includes a proposed date for resumption of operations and proposed guidelines to ensure guest and staff safety. Counties may seek approval to operate vacation rentals with a written request from the County Administrator and the county's safety plan for the vacation rental operations submitted to the DBPR Secretary.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://www.flgov.com/wp-content/uploads/2020/05/EO-20-123.pdf,USA,US
,848612Db,848612,Oregon,2020-05-28T13:39:18Z,2020-05-28,2020-05-14,2020-07-15,,new_entry,"On May 14th, the Governor of Oregon issued an Executive Order which continued the shutdown of food/drink establishments and other businesses. The order was effective immediately and has no end date.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://www.oregon.gov/gov/Documents/executive_orders/eo_20-25.pdf,USA,US
,2000466Db,2000466,Virginia,2020-06-03T03:00:13Z,2020-06-03,2020-06-06,2020-04-23,Fewer Restrictions and/or Less Supply,update,"Virginia: (06.05.2020)
Restaurant and beverage establishments may offer indoor dining at 50 percent occupancy, fitness centers may open indoor areas at 30 percent occupancy, and certain recreation and entertainment venues without shared equipment may open with restrictions. These venues include museums, zoos, aquariums, botanical gardens, and outdoor concert, sporting, and performing arts venues. Swimming pools may also expand operations to both indoor and outdoor exercise, diving, and swim instruction.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,Other,NA,NA,Mandatory (Unspecified/Implied),https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-53-Temporary-Restrictions-Due-To-Novel-Coronavirus-(COVID-19).pdf,USA,US
,3277540Db,3277540,Virginia,2020-06-03T03:06:37Z,2020-06-03,2020-06-05,2020-07-15,Fewer Restrictions and/or Less Supply,update,"VIrginia 06.05.2020: Restaurant and beverage establishments may offer indoor dining at 50 percent occupancy, fitness centers may open indoor areas at 30 percent occupancy, and certain recreation and entertainment venues without shared equipment may open with restrictions. These venues include museums, zoos, aquariums, botanical gardens, and outdoor concert, sporting, and performing arts venues. Swimming pools may also expand operations to both indoor and outdoor exercise, diving, and swim instruction.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,Not Applicable,Mandatory with Fines,https://www.governor.virginia.gov/newsroom/all-releases/2020/may/headline-856681-en.html,USA,US
,4860882Db,4860882,Virginia,2020-06-03T03:32:42Z,2020-06-03,2020-06-02,2020-06-02,Fewer Restrictions and/or Less Supply,update,"Virginia 06.02.2020: Northern Virginia and the City of Richmond entered Phase One on Friday, May 29, and will remain in Phase One to allow for additional monitoring of health data. Accomack County delayed reopening due to outbreaks in poultry plants, which have largely been controlled through rigorous testing. Accomack County will move to Phase Two with the rest of the Commonwealth, on Friday, June 5.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,Other,NA,NA,Mandatory with Fines,https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-62-and-Order-of-Public-Health-Emergency-Four-AMENDED.pdf,USA,US
,3582618Db,3582618,Connecticut,2020-06-14T15:41:28Z,2020-06-14,2020-05-18,2020-06-20,Fewer Restrictions and/or Less Supply,update,"Connecticut, May 18, 2020. Restaurants and bars with outdoor seating are allowed to reopen. While the closure of movie theaters, fitness centers and off-track betting has been continued to June 20.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,All (Travelers + Residents),NA,NA,Mandatory (Unspecified/Implied),https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Northeast-Governors-From-Connecticut-New-York-New-Jersey-Announce-Collective-Measures,USA,US
,9401359Db,9401359,Texas,2020-06-15T10:42:50Z,2020-06-15,2020-05-06,2020-05-19,Fewer Restrictions and/or Less Supply,update,"The state of Texas (U.S.) is extending the list of ""reopened businesses"" effective May 6, 2020 until May 19, 2020. Executive Order GA-21

Retail services, dine-in restaurants, movie theaters, shopping malls, museums/libraries, wedding venues are allowed to open at 25% capacity.

Update: Jail Time removed as an enforcement mechanism",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory with Fines,https://gov.texas.gov/news/post/governor-abbott-issues-executive-order-to-expand-openings-of-certain-businesses-and-activities,USA,US
,5609222Db,5609222,Texas,2020-06-15T10:45:23Z,2020-06-15,2020-05-08,2020-05-19,Fewer Restrictions and/or Less Supply,update,"Texas (United States) is reopening more non-essential businesses starting May 8, 2020, as per executive order GA-21. 

Hair salons, barber shops, nail salons, and tanning salons must maintain mandatory 6ft distance between patrons. 

Swimming pools can operate at 25% capacity. 

On May 7, jail time was removed as an enforcement mechanism.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory with Fines,https://gov.texas.gov/news/post/governor-abbott-issues-executive-order-to-expand-openings-of-certain-businesses-and-activities,USA,US
,4358605Db,4358605,Texas,2020-06-15T10:48:09Z,2020-06-15,2020-05-18,2020-05-19,Fewer Restrictions and/or Less Supply,update,"Texas (U.S.) reopens certain non-essential businesses starting May 18. 

Manufacturing plants, gyms, and services provided by office workers in offices are allowed to reopen at 25% capacity. 

On May 7, jail time was removed as an enforcement mechanism.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory with Fines,https://gov.texas.gov/news/post/governor-abbott-issues-executive-order-to-expand-openings-of-certain-businesses-and-activities,USA,US
,5756821Db,5756821,Texas,2020-06-15T10:50:03Z,2020-06-15,2020-05-18,2020-06-03,Fewer Restrictions and/or Less Supply,new_entry,"As of May 18, 2020, Texas (United States) continues reopening nonessential businesses, pursuant to executive order GA-23. 

Dine-in restaurants can operate at 50% capacity (all counties). 

Bars, aquariums, bowling alleys, concerts, rodeos are allowed to open at 25% for all TX counties excluding Deaf Smith, El Paso, Moore,
Potter, and Randall counties. 

All activities reopened by GA-21 remain open. 

",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,correction,NA,NA,NA,NA,NA,NA,Mandatory with Fines,https://gov.texas.gov/uploads/files/press/EO-GA-23_phase_two_expanding_opening_COVID-19.pdf,USA,US
,1415469Db,1415469,Vermont,2020-06-16T03:05:29Z,2020-06-16,2020-06-15,2020-07-15,,update,"Vermont (06.15.-07.15)For the health and safety of all Vermonters, all business, non-profit and government entity operations, including close contact businesses, gyms and fitness facilities, bars, restaurants and other food services and recreational resources such as lodging, campgrounds, marinas, playgrounds and team sports, shall only operate in accordance with the occupancy limits and physical distancing, health and sanitation and training requirements set forth in ACCD Work Safe Guidance.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,All (Travelers + Residents),NA,NA,"Mandatory with Fines,Mandatory (Unspecified/Implied)",https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%207%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,USA,US
,2457816Db,2457816,Minnesota,2020-06-16T11:40:18Z,2020-06-16,2020-04-26,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"On April 23rd, the Governor of Minnesota issued an Executive Order allowing employees of non-essential businesses to return to work given certain regulations were implemented",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://www.leg.state.mn.us/archive/execorders/20-40.pdf,USA,US
,1639410Db,1639410,Michigan,2020-06-16T13:16:41Z,2020-06-16,2020-03-31,2020-05-29,,update,"Michigan temporarily prohibited banned non-essential veterinary procedures. 

Update: from May 29, veterinary procedures are allowed again under restrictions.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory with Legal Penalties (Jail Time),"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90640-523628--,00.html",USA,US
,6590811Db,6590811,Minnesota,2020-06-16T15:07:26Z,2020-06-16,2020-05-01,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"On April 30th, the Governor of Minnesota issued an Executive Order allowing workers to return to non-critical business sectors, provided certain standards are met",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://www.leg.state.mn.us/archive/execorders/20-48.pdf,USA,US
,2307273Db,2307273,Minnesota,2020-06-16T15:07:34Z,2020-06-16,2020-05-01,2020-05-17,,new_entry,"On April 30th, the Governor of Minnesota issued an Executive Order continuing the closure of bars and restaurants until May 17th",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://www.leg.state.mn.us/archive/execorders/20-48.pdf,USA,US
,2960950Db,2960950,Maryland,2020-06-17T14:52:12Z,2020-06-17,2020-05-27,2020-06-10,Fewer Restrictions and/or Less Supply,new_entry,"Maryland (U.S. state) enacted new COVID-19 guidelines on May 27, 2020. 

Religious facilities and retail stores may open at 50% capacity. Personal care facilities may open at 50% capacity and patrons/employees must wear masks. Dine-in restaurants may open with mandatory 6-ft social distancing. All manufacturing services and outdoor recreation facilities may open.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,correction,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://governor.maryland.gov/wp-content/uploads/2020/05/Gatherings-7th-AMENDED-5.27.20.pdf,USA,US
,1071096Db,1071096,Maryland,2020-06-17T15:03:09Z,2020-06-17,2020-06-10,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"On June 10, Maryland (U.S. state) removes ban on mass gatherings and allows businesses opened on 5-27 and 6-3 to remain open, as per an executive order. 

Retail establishments/malls may remain open at 50% capacity. Personal grooming services and restaurants may open at 50% capacity with staff wearing masks. Manufacturing and outdoor recreational facilities may open without restrictions. 
",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://governor.maryland.gov/wp-content/uploads/2020/06/Gatherings-NINTH-AMENDED-June-10.pdf,USA,US
,7093784Db,7093784,Maryland,2020-06-17T15:18:55Z,2020-06-17,2020-06-19,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"Maryland (U.S. State) allows indoor recreational activities (casinos, gyms, bowling, etc) to open at 50% capacity on June 19th.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://governor.maryland.gov/wp-content/uploads/2020/06/Gatherings-NINTH-AMENDED-June-10.pdf,USA,US
,1934025Db,1934025,Connecticut,2020-06-18T18:18:56Z,2020-06-18,2020-04-10,2020-07-15,,new_entry,"On April 10 in Connecticut, an executive order announced a modification or deferral of Educator certification testing. As well as, gave permission to operate food trucks at rest stop areas.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7X.pdf,USA,US
,4034839Db,4034839,New Mexico,2020-06-24T20:21:24Z,2020-06-24,2020-06-15,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"Gov. Michelle Lujan Grisham on Thursday announced the state’s emergency public health order will be amended to permit a limited reopening for breweries this weekend followed by a broader reopening on Monday, June 15.",Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,original,NA,NA,NA,NA,NA,NA,Voluntary/Recommended but No Penalties,https://www.governor.state.nm.us/2020/06/11/breweries-permitted-soft-reopening/,USA,US
